symbol,sector,key,value,provenance
MNG,Mines,cost_of_capital_build_up,"{""average_total_debt"": 17031400000.0, ""base_cost_of_debt"": 0.055, ""base_equity_risk_premium"": 0.06, ""beta"": 1.0339302550920764, ""beta_as_of"": ""2026-06-01"", ""beta_frequency"": ""weekly"", ""beta_liquidity_flag"": false, ""beta_lookup_as_of"": ""latest"", ""beta_method"": ""ols"", ""beta_n_obs"": 104, ""beta_r2"": 0.18080387639883988, ""beta_source"": ""beta_history"", ""beta_window_years"": 2.0, ""beta_zero_week_frac"": 0.04807692307692308, ""cost_of_debt"": 0.045000000000000005, ""cost_of_debt_ceiling"": 0.085, ""cost_of_debt_floor"": 0.04, ""cost_of_debt_pre_scenario"": 0.045000000000000005, ""cost_of_debt_source"": ""synthetic_interest_coverage_spread"", ""cost_of_debt_unclamped"": 0.045000000000000005, ""cost_of_equity"": 0.09703581530552458, ""cost_of_equity_floor"": 0.095, ""cost_of_equity_floor_bound"": false, ""cost_of_equity_unfloored"": 0.09703581530552458, ""country_risk_premium"": 0.0, ""debt_weight"": 0.07484804866934985, ""effective_cost_of_debt"": 0.045000000000000005, ""effective_equity_risk_premium"": 0.06, ""equity_weight"": 0.9251519513306501, ""interest_coverage"": 20.498461538461537, ""interest_expense"": 195000000.0, ""kd_effective"": 0.01144944044529516, ""kd_synthetic"": 0.045000000000000005, ""macro_config"": {""country_risk_mode"": ""auto"", ""country_risk_premium"": 0.0, ""country_risk_source"": ""auto:masi_embedded"", ""equity_risk_premium"": 0.06, ""erp_index_asset_class"": ""index"", ""erp_index_symbol"": ""MASI"", ""erp_lookback_years"": 10.0, ""erp_mean_method"": ""geometric"", ""erp_mode"": ""manual"", ""erp_source"": ""manual"", ""expected_index_return"": null, ""risk_free_mode"": ""tenor"", ""risk_free_rate"": 0.035, ""risk_free_source"": ""treasury_curve:10Y"", ""scope_key"": ""GLOBAL"", ""source"": ""phase1_macro_seed"", ""treasury_curve"": {""10Y"": 0.035, ""1Y"": 0.03, ""5Y"": 0.033}, ""treasury_tenor"": ""10Y"", ""version_label"": ""macro-seed-bam-masi-2026-06-03"", ""warnings"": []}, ""market_cap"": 210514946268.0, ""market_proxy"": ""MASI"", ""scenario_cost_of_debt_addon"": 0.0, ""scenario_erp_addon"": 0.0, ""synthetic_bucket"": ""AA"", ""synthetic_spread"": 0.01, ""tax_rate"": 0.35, ""total_debt"": 17031400000.0, ""wacc"": 0.0919621793024451, ""weight_source"": ""market_cap_plus_debt""}",computed
MNG,Mines,cost_of_debt,0.045000000000000005,computed
MNG,Mines,cost_of_equity,0.09703581530552458,computed
MNG,Mines,cost_of_equity_floor,0.095,scenario
MNG,Mines,country_risk_premium,0.0,macro_config
MNG,Mines,currency,MAD,scenario
MNG,Mines,default_debt_weight,0.3,default
MNG,Mines,default_equity_weight,0.7,default
MNG,Mines,equity_risk_premium,0.06,macro_config
MNG,Mines,fade_years,5.0,default
MNG,Mines,forecast_years,5.0,default
MNG,Mines,justified_multiple_ratio_mask,3.0,default
MNG,Mines,maintenance_capex_pct,0.04,default
MNG,Mines,mid_year_discounting,1.0,default
MNG,Mines,mid_year_terminal,0.0,default
MNG,Mines,peer_min_count,3.0,default
MNG,Mines,proxy_weight_cap,0.25,default
MNG,Mines,relative_multiple_ratio_mask,15.0,default
MNG,Mines,risk_free_rate,0.035,macro_config
MNG,Mines,scenario_cost_of_debt_addon,0.0,default
MNG,Mines,scenario_erp_addon,0.0,default
MNG,Mines,scenario_probabilities,"{""base"": 0.55, ""bear"": 0.25, ""bull"": 0.2}",
MNG,Mines,scenario_probability_base,0.55,default
MNG,Mines,scenario_probability_bear,0.25,default
MNG,Mines,scenario_probability_bull,0.2,default
MNG,Mines,sensitivity_terminal_growth_step,0.005,default
MNG,Mines,sensitivity_wacc_step,0.005,default
MNG,Mines,stable_payout_ratio,0.55,default
MNG,Mines,tax_rate,0.35,default
MNG,Mines,terminal_growth,0.025,default
MNG,Mines,terminal_growth_basis,"{""equity"": {""binding_constraint"": ""raw"", ""ceiling"": 0.035, ""ceiling_source"": ""risk_free_rate"", ""discount_buffer"": 0.01, ""discount_cap"": 0.08703581530552458, ""discount_rate"": 0.09703581530552458, ""floor"": 0.0, ""path"": ""equity"", ""payout"": 0.15809028647568288, ""payout_source"": ""historical_dividends_to_net_income"", ""raw_growth"": 0.03, ""retention"": 0.8419097135243171, ""roe"": null, ""roe_source"": ""missing_roe"", ""source"": ""earnings_growth_proxy_missing_roe"", ""terminal_growth"": 0.03}, ""firm"": {""binding_constraint"": ""ceiling"", ""ceiling"": 0.035, ""ceiling_source"": ""risk_free_rate"", ""discount_buffer"": 0.01, ""discount_cap"": 0.0819621793024451, ""discount_rate"": 0.0919621793024451, ""floor"": 0.0, ""path"": ""firm"", ""raw_growth"": 0.0540250369804981, ""reinvestment_rate"": 1.0, ""roic"": 0.0540250369804981, ""source"": ""reinvestment_times_roic"", ""tax_rate"": 0.35, ""terminal_growth"": 0.035}}",computed
MNG,Mines,terminal_growth_ceiling_source,1.0,default
MNG,Mines,terminal_growth_discount_buffer,0.01,default
MNG,Mines,terminal_growth_equity,0.03,computed_from_fundamentals
MNG,Mines,terminal_growth_firm,0.035,computed_from_fundamentals
MNG,Mines,terminal_growth_floor,0.0,default
MNG,Mines,use_balance_sheet_capital_weights,1.0,default
MNG,Mines,wacc,0.0919621793024451,computed
